Emotion,Word,TFIDF_Score
anger,rin,0.04462
anger,shit,0.0438
anger,isagi,0.0388
anger,barou,0.03831
anger,really,0.03827
anger,sae,0.037
anger,don,0.03428
anger,manga,0.03326
anger,time,0.03274
anger,did,0.03108
disgust,really,0.06143
disgust,bad,0.04823
disgust,manga,0.04694
disgust,worst,0.04467
disgust,shit,0.03949
disgust,good,0.03807
disgust,rin,0.03779
disgust,don,0.03759
disgust,sae,0.03436
disgust,isagi,0.03231
fear,rin,0.05231
fear,isagi,0.04227
fear,shidou,0.0384
fear,badges,0.03117
fear,lol,0.03075
fear,good,0.02904
fear,really,0.02807
fear,mal,0.02743
fear,level,0.02712
fear,time,0.02615
joy,good,0.09625
joy,great,0.05118
joy,nagi,0.05037
joy,loved,0.04747
joy,best,0.04736
joy,isagi,0.04651
joy,time,0.04344
joy,really,0.04149
joy,rin,0.03873
joy,shidou,0.03602
neutral,isagi,0.06126
neutral,better,0.04284
neutral,manga,0.04256
neutral,time,0.04241
neutral,rin,0.03507
neutral,nagi,0.03349
neutral,team,0.03047
neutral,did,0.02945
neutral,point,0.0288
neutral,good,0.02832
sadness,bad,0.07442
sadness,good,0.0478
sadness,manga,0.04278
sadness,really,0.0403
sadness,rin,0.03919
sadness,sad,0.03827
sadness,time,0.03825
sadness,10,0.03464
sadness,isagi,0.03047
sadness,better,0.03007
surprise,isagi,0.0497
surprise,really,0.04559
surprise,did,0.04329
surprise,barou,0.04052
surprise,rin,0.03623
surprise,amazing,0.03544
surprise,good,0.03417
surprise,nagi,0.03012
surprise,actually,0.02992
surprise,didn,0.02886
